#,Arrival Time,Service Start,Service End,Wait Time,Service Time,Drop Time,# Items,Mobile Payment/Credit Card,Self-Checkout,Manual Counter
74,18:01:54,18:04:17,18:05:33,02:23.0,01:16.0,0,14,1,1,0
75,18:03:56,18:05:54,18:07:54,01:58.0,02:00.0,0,39,1,1,0
76,18:06:34,18:08:09,18:10:35,01:35.0,02:26.0,0,28,1,1,0
77,18:08:29,18:10:52,18:12:20,02:23.0,01:28.0,0,36,1,1,0
78,18:11:36,18:12:51,18:14:03,01:15.0,01:12.0,0,34,1,1,0
79,18:13:30,18:14:45,18:17:32,01:15.0,02:47.0,0,25,1,1,0
80,18:15:50,18:18:24,18:19:53,02:34.0,01:29.0,0,39,1,1,0
81,18:18:53,18:20:21,18:22:16,01:28.0,01:55.0,0,23,1,1,0
82,18:21:36,18:23:14,18:25:37,01:38.0,02:23.0,0,36,1,1,0
83,18:23:14,18:26:08,18:28:43,02:54.0,02:35.0,0,13,1,1,0
84,18:27:15,18:28:53,18:30:34,01:38.0,01:41.0,0,27,1,1,0
85,18:29:48,18:30:54,18:32:10,01:06.0,01:16.0,0,38,1,1,0
86,18:29:23,0:00:00,0:00:00,02:56.0,00:00.0,18:32:19,0,1,1,0
87,18:32:10,18:34:17,18:36:10,02:07.0,01:53.0,0,30,1,1,0
88,18:34:27,18:36:35,18:38:57,02:08.0,02:22.0,0,32,1,1,0
89,18:36:39,18:39:22,18:40:30,02:43.0,01:08.0,0,17,1,1,0
90,18:39:00,18:40:36,18:41:58,01:36.0,01:22.0,0,24,1,1,0
91,18:39:36,18:42:15,18:45:13,02:39.0,02:58.0,0,24,1,1,0
92,18:43:40,18:45:57,18:48:17,02:17.0,02:20.0,0,39,1,1,0
93,18:46:45,18:49:11,18:50:47,02:26.0,01:36.0,0,22,1,1,0
94,18:49:54,18:50:55,18:52:51,01:01.0,01:56.0,0,1,1,1,0
95,18:52:07,18:53:28,18:55:10,01:21.0,01:42.0,0,16,1,1,0
96,18:53:50,0:00:00,0:00:00,02:18.0,00:00.0,18:56:08,0,1,1,0
97,18:55:54,18:58:50,19:00:29,02:56.0,01:39.0,0,36,1,1,0
98,19:00:04,19:01:09,19:02:53,01:05.0,01:44.0,0,5,1,1,0
99,19:00:44,19:03:06,19:05:16,02:22.0,02:10.0,0,11,1,1,0
100,19:03:20,19:05:18,19:07:20,01:58.0,02:02.0,0,9,1,1,0
101,19:05:53,19:07:29,19:09:47,01:36.0,02:18.0,0,36,1,1,0
102,19:08:37,19:10:44,19:12:41,02:07.0,01:57.0,0,40,1,1,0
103,19:11:45,19:13:03,19:15:47,01:18.0,02:44.0,0,22,1,1,0
104,19:14:27,19:16:41,19:19:36,02:14.0,02:55.0,0,22,1,1,0
105,19:19:00,19:20:12,19:21:19,01:12.0,01:07.0,0,9,1,1,0
106,19:19:27,19:21:57,19:23:21,02:30.0,01:24.0,0,35,1,1,0
107,19:23:03,19:24:19,19:26:36,01:16.0,02:17.0,0,6,1,1,0
108,19:26:02,19:27:34,19:29:22,01:32.0,01:48.0,0,36,1,1,0
109,19:27:46,19:30:05,19:32:25,02:19.0,02:20.0,0,25,1,1,0
110,19:30:37,19:32:59,19:35:33,02:22.0,02:34.0,0,6,1,1,0
111,19:34:04,19:35:34,19:38:25,01:30.0,02:51.0,0,6,1,1,0
112,19:37:52,19:39:02,19:41:42,01:10.0,02:40.0,0,2,1,1,0
113,19:39:49,19:42:19,19:44:23,02:30.0,02:04.0,0,37,1,1,0
114,19:42:46,19:45:07,19:46:29,02:21.0,01:22.0,0,3,1,1,0
115,19:45:31,19:46:37,19:48:22,01:06.0,01:45.0,0,23,1,1,0
116,19:46:44,0:00:00,0:00:00,02:28.0,00:00.0,19:49:12,0,1,1,0
117,19:50:57,19:51:58,19:54:19,01:01.0,02:21.0,0,12,1,1,0
118,19:53:08,19:54:49,19:56:42,01:41.0,01:53.0,0,25,1,1,0
119,19:54:34,19:57:15,20:00:06,02:41.0,02:51.0,0,20,1,1,0
120,19:59:07,20:00:54,20:03:40,01:47.0,02:46.0,0,29,1,1,0
