#,Arrival,Service Start,Service End,Wait Time,Service Time,Drop Time,# Items,Mobile Payment/Credit Card,Self-Checkout,Manual Counter
41,14:17:16,14:18:24,14:19:26,01:08.0,01:02.0,0,15,1,1,0
42,14:18:31,14:20:12,14:22:53,01:41.0,02:41.0,0,39,1,1,0
43,14:20:44,14:23:43,14:24:57,02:59.0,01:14.0,0,14,1,1,0
44,14:24:08,14:25:24,14:27:12,01:16.0,01:48.0,0,34,1,1,0
45,14:25:44,14:27:21,14:29:26,01:37.0,02:05.0,0,1,1,1,0
46,14:28:26,14:29:56,14:31:57,01:30.0,02:01.0,0,37,1,1,0
47,15:03:47,15:05:23,15:07:07,01:36.0,01:44.0,0,24,1,1,0
48,15:09:26,15:10:42,15:13:25,01:16.0,02:43.0,0,3,1,1,0
49,15:12:11,15:14:18,15:16:39,02:07.0,02:21.0,0,21,1,1,0
50,15:13:52,15:16:41,15:18:35,02:49.0,01:54.0,0,13,1,1,0
51,15:16:50,15:18:49,15:20:06,01:59.0,01:17.0,0,7,1,1,0
52,15:19:10,15:20:39,15:22:48,01:29.0,02:09.0,0,11,1,1,0
53,15:39:08,15:40:12,15:42:22,01:04.0,02:10.0,0,5,1,1,0
54,15:40:31,15:42:25,15:44:22,01:54.0,01:57.0,0,31,1,1,0
55,15:43:47,15:45:14,15:47:56,01:27.0,02:42.0,0,22,1,1,0
56,15:46:08,15:48:46,15:50:34,02:38.0,01:48.0,0,4,1,1,0
57,15:58:10,16:00:01,16:02:46,01:51.0,02:45.0,0,18,1,1,0
58,16:15:23,16:17:28,16:18:57,02:05.0,01:29.0,0,39,1,1,0
59,16:17:25,16:19:15,16:21:59,01:50.0,02:44.0,0,5,1,1,0
60,16:20:21,16:22:57,16:24:43,02:36.0,01:46.0,0,14,1,1,0
61,16:22:10,16:25:04,16:26:36,02:54.0,01:32.0,0,38,1,1,0
62,16:26:01,16:27:15,16:30:04,01:14.0,02:49.0,0,20,1,1,0
63,16:27:37,16:30:06,16:31:45,02:29.0,01:39.0,0,34,1,1,0
64,16:30:28,16:32:23,16:35:07,01:55.0,02:44.0,0,25,1,1,0
65,16:43:41,16:45:02,16:46:32,01:21.0,01:30.0,0,16,1,1,0
66,16:51:32,16:52:53,16:54:14,01:21.0,01:21.0,0,39,1,1,0
67,16:53:24,16:54:35,16:57:20,01:11.0,02:45.0,0,33,1,1,0
68,16:55:59,16:57:41,16:59:16,01:42.0,01:35.0,0,2,1,1,0
69,16:58:41,16:59:46,17:01:42,01:05.0,01:56.0,0,2,1,1,0
70,18:00:19,18:02:17,18:04:41,01:58.0,02:24.0,0,2,1,1,0
71,18:03:23,18:04:50,18:06:27,01:27.0,01:37.0,0,9,1,1,0
72,18:04:26,18:06:35,18:08:45,02:09.0,02:10.0,0,23,1,1,0
73,18:07:42,18:09:43,18:11:34,02:01.0,01:51.0,0,2,1,1,0
74,18:10:57,18:12:08,18:13:37,01:11.0,01:29.0,0,6,1,1,0
75,18:12:27,18:14:00,18:16:21,01:33.0,02:21.0,0,23,1,1,0
76,18:14:32,18:17:13,18:19:07,02:41.0,01:54.0,0,21,1,1,0
77,18:18:36,18:19:57,18:21:13,01:21.0,01:16.0,0,13,1,1,0
78,18:19:38,18:21:49,18:23:19,02:11.0,01:30.0,0,38,1,1,0
79,18:21:46,18:24:07,18:27:03,02:21.0,02:56.0,0,24,1,1,0
80,18:25:10,18:27:26,18:28:44,02:16.0,01:18.0,0,14,1,1,0
81,18:27:52,18:29:10,18:30:24,01:18.0,01:14.0,0,12,1,1,0
82,18:28:52,18:30:43,18:31:50,01:51.0,01:07.0,0,28,1,1,0
83,18:30:08,0:00:00,0:00:00,01:57.0,00:00.0,18:32:05,0,1,1,0
84,18:32:43,18:34:45,18:36:06,02:02.0,01:21.0,0,36,1,1,0
85,18:35:19,18:37:04,18:38:16,01:45.0,01:12.0,0,17,1,1,0
86,18:36:38,18:38:53,18:40:01,02:15.0,01:08.0,0,21,1,1,0
87,18:38:06,18:40:19,18:41:23,02:13.0,01:04.0,0,19,1,1,0
88,18:40:15,18:41:42,18:43:38,01:27.0,01:56.0,0,15,1,1,0
89,18:42:41,18:44:30,18:46:29,01:49.0,01:59.0,0,15,1,1,0
90,18:44:39,18:46:56,18:48:20,02:17.0,01:24.0,0,34,1,1,0
91,18:46:11,18:48:30,18:50:25,02:19.0,01:55.0,0,7,1,1,0
92,18:49:25,18:50:26,18:53:22,01:01.0,02:56.0,0,40,1,1,0
93,18:50:45,18:53:33,18:54:55,02:48.0,01:22.0,0,10,1,1,0
94,18:54:05,18:55:18,18:57:49,01:13.0,02:31.0,0,20,1,1,0
95,18:56:37,18:58:28,19:01:16,01:51.0,02:48.0,0,20,1,1,0
96,18:59:28,0:00:00,0:00:00,02:29.0,00:00.0,19:01:57,0,1,1,0
97,19:02:09,19:04:43,19:06:39,02:34.0,01:56.0,0,23,1,1,0
98,19:04:13,19:06:56,19:09:50,02:43.0,02:54.0,0,31,1,1,0
99,19:07:49,19:09:59,19:12:48,02:10.0,02:49.0,0,17,1,1,0
100,19:11:34,19:13:32,19:15:33,01:58.0,02:01.0,0,7,1,1,0
101,19:15:05,19:16:26,19:18:24,01:21.0,01:58.0,0,39,1,1,0
102,19:17:34,19:18:35,19:20:12,01:01.0,01:37.0,0,23,1,1,0
103,19:18:40,19:21:01,19:22:35,02:21.0,01:34.0,0,21,1,1,0
104,19:20:42,19:23:19,19:24:35,02:37.0,01:16.0,0,12,1,1,0
105,19:23:16,19:24:50,19:26:45,01:34.0,01:55.0,0,6,1,1,0
106,19:25:28,19:27:07,19:28:57,01:39.0,01:50.0,0,28,1,1,0
107,19:26:39,19:29:00,19:30:32,02:21.0,01:32.0,0,19,1,1,0
108,19:28:40,19:31:03,19:32:15,02:23.0,01:12.0,0,19,1,1,0
109,19:30:36,19:32:30,19:33:56,01:54.0,01:26.0,0,19,1,1,0
110,19:33:03,19:34:13,19:35:21,01:10.0,01:08.0,0,7,1,1,0
111,19:33:16,19:35:24,19:37:34,02:08.0,02:10.0,0,10,1,1,0
112,19:35:53,19:38:02,19:39:47,02:09.0,01:45.0,0,36,1,1,0
113,19:37:54,19:40:10,19:41:24,02:16.0,01:14.0,0,12,1,1,0
114,19:40:13,19:41:37,19:44:25,01:24.0,02:48.0,0,1,1,1,0
115,19:43:18,19:44:44,19:46:32,01:26.0,01:48.0,0,18,1,1,0
116,19:45:23,19:47:15,19:49:40,01:52.0,02:25.0,0,39,1,1,0
117,19:47:08,19:49:43,19:50:51,02:35.0,01:08.0,0,3,1,1,0
118,19:48:17,19:51:15,19:53:15,02:58.0,02:00.0,0,31,1,1,0
119,19:52:19,19:53:30,19:54:33,01:11.0,01:03.0,0,30,1,1,0
120,19:53:23,19:54:51,19:57:14,01:28.0,02:23.0,0,35,1,1,0
121,19:56:47,19:57:58,19:59:44,01:11.0,01:46.0,0,9,1,1,0
122,19:57:06,19:59:52,20:01:55,02:46.0,02:03.0,0,35,1,1,0
123,20:00:23,20:02:32,20:04:00,02:09.0,01:28.0,0,37,1,1,0
